ID,Tên sản phẩm,Product ID,URL,Giá,Chiết khấu,Đánh giá,Đã bán,Trạng thái
1,"Hộp 10 Lưỡi Dao Rọc Giấy Deli, Chất Liệu Thép Hợp Kim Siêu Bền, Sắc Bén, Mũi Dao 30 Độ",N/A,https://shopee.vn/Hộp-10-Lưỡi-Dao-Rọc-Giấy-Deli-Chất-Liệu-Thép-Hợp-Kim-Siêu-Bền-Sắc-Bén-Mũi-Dao-30-Độ-i.1021391020.21790473893?extraParams=%7B%22display_model_id%22%3A225376062005%2C%22model_selection_logic%22%3A3%7D,10k đ,0%,4.9,10,Hoạt động
2,"Thước Kẻ Thép Deli Cao Cấp - Kích Thước 15cm Nhỏ Gọn, Tiện Lợi - Chất Liệu Chống Mòn Gỉ",N/A,https://shopee.vn/Thước-Kẻ-Thép-Deli-Cao-Cấp-Kích-Thước-15cm-Nhỏ-Gọn-Tiện-Lợi-Chất-Liệu-Chống-Mòn-Gỉ-i.1021391020.15097759863?extraParams=%7B%22display_model_id%22%3A276848631736%2C%22model_selection_logic%22%3A3%7D,12k đ,0%,4.9,15,Hoạt động
3,"[LIFEDL157] Keo Siêu Dính Đa Năng Deli - 7ml/ 20ml - Có Thể Dán Trên Mọi Bề Mặt - Phù Hợp Sửa Chữa, Ghép Nối",N/A,https://shopee.vn/-LIFEDL157-Keo-Siêu-Dính-Đa-Năng-Deli-7ml-20ml-Có-Thể-Dán-Trên-Mọi-Bề-Mặt-Phù-Hợp-Sửa-Chữa-Ghép-Nối-i.1021391020.20790469616?extraParams=%7B%22display_model_id%22%3A225376065381%2C%22model_selection_logic%22%3A3%7D,12k đ,0%,4.9,157,Hoạt động
4,"Bộ Tuốc Nơ Vít 44 Trong 1 DELI TOOLS - Bộ Tua Vít Sửa Chữa Điện Thoại, Máy Tính Bảng, Máy Ảnh",N/A,https://shopee.vn/Bộ-Tuốc-Nơ-Vít-44-Trong-1-DELI-TOOLS-Bộ-Tua-Vít-Sửa-Chữa-Điện-Thoại-Máy-Tính-Bảng-Máy-Ảnh-i.1021391020.27206380892?extraParams=%7B%22display_model_id%22%3A243616174710%2C%22model_selection_logic%22%3A3%7D,145k đ,0%,4.9,44,Hoạt động
5,"Ổ Cắm Điện 3250W-2500W Tích Hợp Cổng USB TypeC Đa Năng DELI, 2-6 Lỗ Cắm Đầu 3, Dây 2-5M Tiện Dụng, An Toàn,Chống Cháy Nổ",N/A,https://shopee.vn/Ổ-Cắm-Điện-3250W-2500W-Tích-Hợp-Cổng-USB-TypeC-Đa-Năng-DELI-2-6-Lỗ-Cắm-Đầu-3-Dây-2-5M-Tiện-Dụng-An-Toàn-Chống-Cháy-Nổ-i.1021391020.22764215986?extraParams=%7B%22display_model_id%22%3A69596694132%2C%22model_selection_logic%22%3A3%7D,141k đ,0%,5,3250,Hoạt động
6,"Súng Bắn Keo Deli Cao Cấp Chính Hãng Công Suất Lớn 40W - Nhỏ Gọn, An Toàn Sử Dụng - Thiết Kế Hiện Đại",N/A,https://shopee.vn/Súng-Bắn-Keo-Deli-Cao-Cấp-Chính-Hãng-Công-Suất-Lớn-40W-Nhỏ-Gọn-An-Toàn-Sử-Dụng-Thiết-Kế-Hiện-Đại-i.1021391020.22083897862?extraParams=%7B%22display_model_id%22%3A258760334274%2C%22model_selection_logic%22%3A3%7D,46k đ,0%,4.9,40,Hoạt động
7,Dao Rọc Giấy Deli Cao Cấp Lưỡi Thép Không Gỉ SK5 Dao Rọc Mini Bỏ Túi Kim Loại Tiện Lợi Văn Phòng Học Sinh,N/A,https://shopee.vn/Dao-Rọc-Giấy-Deli-Cao-Cấp-Lưỡi-Thép-Không-Gỉ-SK5-Dao-Rọc-Mini-Bỏ-Túi-Kim-Loại-Tiện-Lợi-Văn-Phòng-Học-Sinh-i.1021391020.24976815391?extraParams=%7B%22display_model_id%22%3A148604563212%2C%22model_selection_logic%22%3A3%7D,14k đ,0%,5,5,Hoạt động
8,Thước Kẹp Cơ Điện Tử Cao Cấp Chính Hãng DELI - Độ Chính Xác Cao - Chất Liệu Cao Cấp Bền Bỉ,N/A,https://shopee.vn/Thước-Kẹp-Cơ-Điện-Tử-Cao-Cấp-Chính-Hãng-DELI-Độ-Chính-Xác-Cao-Chất-Liệu-Cao-Cấp-Bền-Bỉ-i.1021391020.24880984509?extraParams=%7B%22display_model_id%22%3A168970862070%2C%22model_selection_logic%22%3A3%7D,121k đ,0%,4.9,121,Hoạt động
9,Túi Đựng Đồ Nghề Dụng Cụ Sửa Chữa Deli Chất Liệu Vải Oxford Chống Thấm Nước Thiết Kế Nhiều Ngăn,N/A,https://shopee.vn/Túi-Đựng-Đồ-Nghề-Dụng-Cụ-Sửa-Chữa-Deli-Chất-Liệu-Vải-Oxford-Chống-Thấm-Nước-Thiết-Kế-Nhiều-Ngăn-i.1021391020.25671155960?extraParams=%7B%22display_model_id%22%3A400025533280%2C%22model_selection_logic%22%3A3%7D,120k đ,0%,4.9,120,Hoạt động
10,Thước Cuộn 5 Mét Cao Cấp Chính Hãng DELI - Chất Liệu Bền Bỉ Chống Rỉ Sét - Thiết Kế Tinh Tế Nhỏ Gọn Tiện Dụng,N/A,https://shopee.vn/Thước-Cuộn-5-Mét-Cao-Cấp-Chính-Hãng-DELI-Chất-Liệu-Bền-Bỉ-Chống-Rỉ-Sét-Thiết-Kế-Tinh-Tế-Nhỏ-Gọn-Tiện-Dụng-i.1021391020.22085474517?extraParams=%7B%22display_model_id%22%3A108230119991%2C%22model_selection_logic%22%3A3%7D,51k đ,0%,4.9,5,Hoạt động
